                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.0149,                0.47633,                0.85898,                0.98094,                0.98387,                0.98812,                0.73234,                 1.0035,                0.45768,                 0.8827,              0.0010595,              0.0010595,              0.0010595
                     98,                  1.053,                0.48566,                0.86664,                 0.9989,                0.98387,                0.98795,                0.77173,                0.86942,                0.42602,                0.86364,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.0107,                0.47179,                0.85613,                      1,                0.97758,                0.98821,                0.77961,                0.83719,                0.42328,                0.85959,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.0382,                0.47456,                0.86588,                0.96771,                0.96685,                0.98611,                 0.7598,                0.94407,                0.46535,                 0.8746,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.0583,                 0.4904,                  0.853,                 0.9682,                0.98202,                0.98761,                0.77927,                 0.8849,                0.45584,                0.86503,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.0495,                0.48971,                0.85463,                0.99912,                0.93548,                0.98094,                0.76913,                0.87849,                0.44774,                0.86675,                0.00101,                0.00101,                0.00101
                    103,                  1.087,                0.49421,                0.85748,                0.96792,                0.97329,                0.98629,                0.76797,                0.87545,                0.44255,                0.86478,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.0117,                0.47309,                0.85481,                0.96818,                0.98162,                0.98656,                 0.7322,                0.93844,                0.44223,                0.87334,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.0752,                0.48396,                0.86625,                0.98298,                0.96774,                0.98685,                0.76923,                0.87907,                0.42918,                0.86527,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.0126,                 0.4733,                0.85136,                0.98113,                0.98387,                0.99325,                0.73571,                0.95034,                 0.4295,                0.87283,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.0161,                0.47151,                0.86565,                0.97993,                0.98387,                 0.9883,                0.73645,                0.98492,                0.44322,                0.87718,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.0021,                0.46349,                0.85395,                 0.9823,                0.98387,                0.99337,                0.77505,                0.89882,                0.43906,                0.85991,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.0299,                0.48221,                 0.8519,                0.98317,                0.98387,                0.99318,                0.78569,                0.82079,                0.42323,                0.84929,              0.0009407,              0.0009407,              0.0009407
                    110,                0.96192,                0.46229,                0.84921,                0.98385,                0.98242,                 0.9935,                0.78293,                0.81486,                0.42684,                0.84886,              0.0009308,              0.0009308,              0.0009308
                    111,                0.98024,                0.46318,                0.84334,                0.98133,                0.96774,                0.99319,                0.76854,                0.83518,                0.42365,                0.85242,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.0021,                0.47172,                0.84215,                0.96764,                0.98387,                0.99273,                0.76856,                0.86051,                0.44562,                 0.8576,               0.000911,               0.000911,               0.000911
                    113,                0.98439,                0.46949,                0.84994,                0.96806,                0.97777,                0.99273,                0.77848,                0.83869,                0.44661,                0.85247,              0.0009011,              0.0009011,              0.0009011
                    114,                0.99688,                0.46842,                0.84719,                0.96585,                0.98387,                0.99345,                0.78071,                0.85833,                0.45421,                0.85647,              0.0008912,              0.0008912,              0.0008912
